School Year,Major Program Name,"Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: White (Tot. M)",Total
2012-2013,CS and/or Eng Multiple Majors (data submitted in aggregation),2060,259,469,11,2,1604,4405
2012-2013,Chemical Engineering,30,7,10,0,1,258,306
2012-2013,Civil Engineering,0,1,3,0,0,38,42
2012-2013,Computational Biology,1,0,1,0,0,3,5
2012-2013,Computer Engineering,649,193,419,9,11,1917,3198
2012-2013,Computer Information Systems,8,32,16,0,0,141,197
2012-2013,Computer Science,2549,559,1567,52,37,8091,12855
2012-2013,Computer Science (BA),39,21,15,0,1,217,293
2012-2013,Computer Science (BS),181,39,64,10,4,847,1145
2012-2013,Computer Science + X,151,39,54,1,0,313,558
2012-2013,Computer Software and Media Applications,22,18,17,2,0,197,256
2012-2013,Computer Systems Engineering,41,12,53,3,0,177,286
2012-2013,Electrical Engineering,399,154,359,12,9,2296,3229
2012-2013,Electrical and Computer Engineering,161,143,211,1,3,636,1155
2012-2013,"Electrical, Electronics and Communications Engineering",3,5,7,1,1,63,80
2012-2013,Engineering Technology,61,47,259,2,0,958,1327
2012-2013,General Engineering,1,0,6,0,0,74,81
2012-2013,Industrial Distribution,9,7,64,2,0,382,464
2012-2013,Informatics,22,27,23,1,0,473,546
2012-2013,Information Science,28,32,23,0,1,111,195
2012-2013,Information Technology,69,108,264,2,0,536,979
2012-2013,Management Information Systems,27,42,33,0,7,312,421
2012-2013,Mechanical Engineering,413,245,364,31,9,4580,5642
2012-2013,Software Engineering,23,14,12,1,0,299,349
2012-2013,Systems Engineering,3,7,4,0,1,28,43
2012-2013,Web Design ,2,0,7,0,0,6,15
2013-2014,Aerospace Engineering,156,16,274,7,7,415,875
2013-2014,Applied Information Technology,283,87,74,0,6,296,746
2013-2014,CS and/or Eng Multiple Majors (data submitted in aggregation),2468,292,586,12,5,1772,5135
