School Year,Major Program Name,"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: American Indian/Alaska Native (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: White (Tot. F)",Total
2008-2009,Materials Science and Engineering,2,1,0,0,0,14,17
2008-2009,Mathematics and Computer Science,0,1,0,0,0,1,2
2008-2009,Mechanical Engineering,32,23,23,3,0,329,410
2008-2009,Software Development,0,0,0,0,0,0,0
2008-2009,Systems Engineering,0,2,1,0,0,0,3
2009-2010,Applied Engineering Sciences,4,7,0,0,0,29,40
2009-2010,Applied Information Technology,55,11,14,0,0,30,110
2009-2010,Biosystems Engineering,2,4,2,0,0,37,45
2009-2010,CS and/or Eng Multiple Majors (data submitted in aggregation),267,22,40,6,0,106,441
2009-2010,Chemical Engineering,5,2,4,1,0,63,75
2009-2010,Civil Engineering,6,3,1,0,0,66,76
2009-2010,Computer Engineering,54,26,101,2,3,81,267
2009-2010,Computer Information Systems,2,15,1,1,0,16,35
2009-2010,Computer Science,165,41,38,5,12,337,598
2009-2010,Computer Science (BA),1,4,0,0,0,10,15
2009-2010,Computer Science (BS),3,3,0,0,0,21,27
2009-2010,Computer Science / Engineering,3,0,1,0,0,25,29
2009-2010,Computer Software and Media Applications,8,3,0,0,0,72,83
2009-2010,Computer Systems Engineering,2,3,3,0,0,16,24
2009-2010,Electrical Engineering,47,31,150,8,0,154,390
2009-2010,Electrical and Computer Engineering,10,8,14,1,0,37,70
2009-2010,Engineering Technology,9,14,39,0,0,131,193
2009-2010,General Engineering,0,0,1,0,0,17,18
2009-2010,Industrial Distribution,3,8,15,0,0,97,123
2009-2010,Informatics,6,8,1,0,0,66,81
