School Year,Major Program Name,Total
2014-2015,Computer Science (BS),1565
2014-2015,Computer Science + X,883
2014-2015,Computer Software and Media Applications,238
2014-2015,Computer Systems Engineering,312
2014-2015,Computer and Information Sciences,166
2014-2015,Data Science,7
2014-2015,Electrical & Computer Engineering,201
2014-2015,Electrical Engineering,2923
2014-2015,Electrical and Computer Engineering,928
2014-2015,"Electrical, Electronics and Communications Engineering",99
2014-2015,Engineering Technology,1357
2014-2015,General Engineering,70
2014-2015,Industrial Distribution,508
2014-2015,Informatics,768
2014-2015,Information Assurance/Cybersecurity,125
2014-2015,Information Science,463
2014-2015,Information Science ,43
2014-2015,Information Sciences,9
2014-2015,Information Technology,1647
2014-2015,Management Information Systems,613
2014-2015,Mechanical Engineering,4941
2014-2015,Software Engineering,1378
2014-2015,Web Design ,11
2015-2016,Aerospace Engineering,489
2015-2016,Applied Computer Science,29
2015-2016,CS and/or Eng Multiple Majors (data submitted in aggregation),3405
2015-2016,Civil Engineering,122
2015-2016,Computational Biology,4
2015-2016,Computer Engineering,1789
2015-2016,Computer Information Systems,144
2015-2016,Computer Science,16404
2015-2016,Computer Science ,26
2015-2016,Computer Science (BA),1081
2015-2016,Computer Science (BS),1563
2015-2016,Computer Science + X,648
2015-2016,Computer Science / Engineering,576
2015-2016,Computer Software and Media Applications,250
2015-2016,Computer Technology,156
2015-2016,Computer and Information Systems,39
2015-2016,Data Science,53
2015-2016,Electrical & Computer Engineering,218
2015-2016,Electrical Engineering,1873
2015-2016,Electrical and Computer Engineering,869
2015-2016,"Electrical, Electronics and Communications Engineering",116
2015-2016,Engineering Technology,1447
2015-2016,Game Design,51
2015-2016,General Engineering ,93
2015-2016,Industrial Distribution,635
2015-2016,Informatics,142
2015-2016,Information Assurance/Cybersecurity,132
2015-2016,Information Science,298
2015-2016,Information Sciences,12
2015-2016,Information Technology,1438
2015-2016,Information Technology ,391
2015-2016,Management Information Systems,653
2015-2016,Manufacturing Engineering ,61
2015-2016,Mechanical Engineering,4542
2015-2016,Software Engineering,526
2015-2016,Web Design ,9
2016-2017,CS and/or Eng Multiple Majors (data submitted in aggregation),1273
2016-2017,Civil Engineering,143
2016-2017,Computer Engineering,1262
2016-2017,Computer Science,3858
2016-2017,Computer Science + X,96
2016-2017,Computer Software and Media Applications,296
2016-2017,Electrical & Computer Engineering,228
2016-2017,Electrical Engineering,858
2016-2017,Electrical and Computer Engineering,193
2016-2017,General Engineering ,85
2016-2017,Information Science,218
2016-2017,Information Technology,364
2016-2017,Management Information Systems,213
2016-2017,Mechanical Engineering,1830
2016-2017,Software Engineering,513
2016-2017,Web Design ,9
